 TIME                    ,¸ººÉ                     ,
  +4.5903999999999996E+03,  +1.1837158660000000E+03,
  +4.5905000000000000E+03,  +1.4183531949999999E+03,
  +4.5906000000000004E+03,  +1.4846660280000001E+03,
  +4.5906999999999998E+03,  +1.9306653859999999E+03,
  +4.5908000000000002E+03,  +1.2932585460000000E+03,
  +4.5908999999999996E+03,  +1.2559840999999999E+03,
  +4.5910000000000000E+03,  +1.6239406520000000E+03,
  +4.5911000000000004E+03,  +1.9080822000000001E+03,
  +4.5911999999999998E+03,  +1.0835132670000000E+03,
  +4.5913000000000002E+03,  +1.8039360019999999E+03,
  +4.5913999999999996E+03,  +1.1634973960000000E+03,
  +4.5915000000000000E+03,  +1.5402678519999999E+03,
  +4.5916000000000004E+03,  +1.7771967950000001E+03,
  +4.5916999999999998E+03,  +9.1006704769999999E+02,
  +4.5918000000000002E+03,  +1.2309131159999999E+03,
  +4.5918999999999996E+03,  +1.7601924779999999E+03,
  +4.5920000000000000E+03,  +2.9611421409999998E+03,
  +4.5921000000000004E+03,  +2.8115859230000001E+03,
  +4.5921999999999998E+03,  +2.0018549579999999E+03,
  +4.5923000000000002E+03,  +4.9835391010000003E+03,
  +4.5923999999999996E+03,  +4.2637526660000003E+03,
  +4.5925000000000000E+03,  +3.5365093310000002E+03,
  +4.5926000000000004E+03,  +4.7509016970000002E+03,
  +4.5926999999999998E+03,  +4.7557235899999996E+03,
  +4.5928000000000002E+03,  +3.5758506560000001E+03,
  +4.5928999999999996E+03,  +2.1783852489999999E+03,
  +4.5930000000000000E+03,  +4.0504801910000001E+03,
  +4.5931000000000004E+03,  +3.5336417160000001E+03,
  +4.5931999999999998E+03,  +4.7142224150000002E+03,
  +4.5933000000000002E+03,  +4.3736601730000002E+03,
  +4.5933999999999996E+03,  +2.7573938140000000E+03,
  +4.5935000000000000E+03,  +2.4618715170000000E+03,
  +4.5936000000000004E+03,  +4.8069004610000002E+03,
  +4.5936999999999998E+03,  +2.6054504760000000E+03,
  +4.5938000000000002E+03,  +2.0364516050000000E+03,
  +4.5938999999999996E+03,  +2.9758303770000002E+03,
  +4.5940000000000000E+03,  +4.3904579739999999E+03,
  +4.5941000000000004E+03,  +2.5343831049999999E+03,
  +4.5941999999999998E+03,  +3.3082679979999998E+03,
  +4.5943000000000002E+03,  +3.8705975210000001E+03,
  +4.5943999999999996E+03,  +3.8394855219999999E+03,
  +4.5945000000000000E+03,  +3.1270529289999999E+03,
  +4.5946000000000004E+03,  +4.3610907840000000E+03,
  +4.5946999999999998E+03,  +2.0099409140000000E+03,
  +4.5948000000000002E+03,  +4.5281214590000000E+03,
  +4.5948999999999996E+03,  +3.8128534310000000E+03,
  +4.5950000000000000E+03,  +3.0331434190000000E+03,
  +4.5951000000000004E+03,  +3.2376007340000001E+03,
  +4.5951999999999998E+03,  +3.9454297210000000E+03,
  +4.5953000000000002E+03,  +3.3345833710000002E+03,
  +4.5953999999999996E+03,  +4.3525947440000000E+03,
  +4.5955000000000000E+03,  +4.2453384130000004E+03,
  +4.5956000000000004E+03,  +4.9855484450000004E+03,
  +4.5956999999999998E+03,  +4.5354184320000004E+03,
  +4.5958000000000002E+03,  +2.6982823060000001E+03,
  +4.5958999999999996E+03,  +4.1207352929999997E+03,
  +4.5960000000000000E+03,  +4.8037458349999997E+03,
  +4.5961000000000004E+03,  +4.2819180010000000E+03,
  +4.5961999999999998E+03,  +2.0855349050000000E+03,
  +4.5963000000000002E+03,  +2.7812311949999998E+03,
  +4.5963999999999996E+03,  +4.9503304349999999E+03,
  +4.5965000000000000E+03,  +4.4992693520000003E+03,
  +4.5966000000000004E+03,  +3.9440808609999999E+03,
  +4.5966999999999998E+03,  +4.8583558860000003E+03,
  +4.5968000000000002E+03,  +4.6462579400000004E+03,
  +4.5968999999999996E+03,  +2.8614370020000001E+03,
  +4.5970000000000000E+03,  +3.9943439910000002E+03,
