 TIME                    ,ÏµÍ³COP                  ,Time                     ,¸ººÉ                     ,
  +4.5201999999999998E+03,  +5.1190810821411521E+00,  +4.5203000000000002E+03,  +4.3748000549999997E+03,
  +4.5203000000000002E+03,  +5.3207929914298262E+00,  +4.5203999999999996E+03,  +3.4717172940000000E+03,
  +4.5203999999999996E+03,  +4.8497902659616070E+00,  +4.5205000000000000E+03,  +2.4594690639999999E+03,
  +4.5205000000000000E+03,  +4.7624932182239048E+00,  +4.5206000000000004E+03,  +2.6695235769999999E+03,
  +4.5206000000000004E+03,  +5.5247040224330357E+00,  +4.5206999999999998E+03,  +3.9708170559999999E+03,
  +4.5206999999999998E+03,  +5.6142964937964601E+00,  +4.5208000000000002E+03,  +4.9507909410000002E+03,
  +4.5208000000000002E+03,  +4.5279097672884188E+00,  +4.5208999999999996E+03,  +2.7430555300000001E+03,
  +4.5208999999999996E+03,  +5.5989285418670729E+00,  +4.5210000000000000E+03,  +4.8087491940000000E+03,
  +4.5210000000000000E+03,  +5.0882344389558201E+00,  +4.5211000000000004E+03,  +3.2171923870000001E+03,
  +4.5211000000000004E+03,  +5.4662925314513702E+00,  +4.5211999999999998E+03,  +4.0466351599999998E+03,
  +4.5211999999999998E+03,  +4.7227064588942893E+00,  +4.5213000000000002E+03,  +2.9790661500000001E+03,
  +4.5213000000000002E+03,  +5.3308283899603710E+00,  +4.5213999999999996E+03,  +3.4521581099999999E+03,
  +4.5213999999999996E+03,  +5.0795579863197418E+00,  +4.5215000000000000E+03,  +3.0881987979999999E+03,
  +4.5215000000000000E+03,  +5.0837786793002779E+00,  +4.5216000000000004E+03,  +2.7051310640000002E+03,
  +4.5216000000000004E+03,  +5.3555588387576671E+00,  +4.5216999999999998E+03,  +4.9833068629999998E+03,
  +4.5216999999999998E+03,  +5.3261561098507615E+00,  +4.5218000000000002E+03,  +3.9491535490000001E+03,
  +4.5218000000000002E+03,  +5.1982664455336058E+00,  +4.5218999999999996E+03,  +2.2029983560000001E+03,
  +4.5218999999999996E+03,  +5.1880404264412174E+00,  +4.5220000000000000E+03,  +2.0883653380000001E+03,
  +4.5220000000000000E+03,  +5.5316799968481769E+00,  +4.5221000000000004E+03,  +4.6994002609999998E+03,
  +4.5221000000000004E+03,  +5.3461684587952858E+00,  +4.5221999999999998E+03,  +4.9397852610000000E+03,
  +4.5221999999999998E+03,  +5.5943606620382234E+00,  +4.5223000000000002E+03,  +4.5347074469999998E+03,
  +4.5223000000000002E+03,  +5.5138219683770284E+00,  +4.5223999999999996E+03,  +4.3876983920000002E+03,
  +4.5223999999999996E+03,  +5.6033161633705246E+00,  +4.5225000000000000E+03,  +4.4700720009999995E+03,
